rank	date	genre	slug	artist	album	spotify	year
23	September 30, 2016	Art Pop	Jenny Hval - Blood Bitch	Jenny Hval	Blood Bitch	18XEoSRglCwQLGClea3686	2016
22	June 17, 2016	Hip Hop	YG - Still Brazy	YG	Still Brazy	4gVJj9kuG6ue5Sb8egEPyn	2016
21	August 26, 2016	Hip Hop	Young Thug - Jeffery	Young Thug	Jeffery	7EpUpNUkkEGnaCvkcn1j4H	2016
20	September 30, 2016	Ambient Pop	Nicolas Jaar - Sirens	Nicolas Jaar	Sirens	2EvZiOMBlC9b5hbjbZCjZv	2016
19	January 27, 2016	R&B	Rihanna - ANTI	Rihanna	ANTI	3Q149ZH46Z0f3oDR7vlDYV	2016
18	June 17, 2016	Indie Rock	Mitski - Puberty 2	Mitski	Puberty 2	16i5KnBjWgUtwOO7sVMnJB	2016
17	October 21, 2016	Singer-Songwriter	Leonard Cohen - You Want It Darker	Leonard Cohen	You Want It Darker	3jeTB3j3QmUs8SPIVleHtU	2016
16	March 4, 2016	Hip Hop	Kendrick Lamar - untitled unmastered.	Kendrick Lamar	untitled unmastered.	5WSPnYTQ6YZ1UvBRi5quhO	2016
15	September 9, 2016	Art Rock	Nick Cave & The Bad Seeds - Skeleton Tree	Nick Cave & The Bad Seeds	Skeleton Tree	34xaLN7rDecGEK5UGIVbeJ	2016
14	June 27, 2016	Alternative R&B	Blood Orange - Freetown Sound	Blood Orange	Freetown Sound	3Z2XUjgVj5ZkCGpU7b2qtY	2016
13	January 15, 2016	Neo-Soul	Anderson .Paak - Malibu	Anderson .Paak	Malibu	4VFG1DOuTeDMBjBLZT7hCK	2016
12	September 30, 2016	Art Pop	Bon Iver - 22, A Million	Bon Iver	22, A Million	1PgfRdl3lPyACfUGH4pquG	2016
11	September 27, 2016	Hip Hop	Danny Brown - Atrocity Exhibition	Danny Brown	Atrocity Exhibition	3e7vtKJ3m1zVh38VGq2g3H	2016
10	May 8, 2016	Art Rock	Radiohead - A Moon Shaped Pool	Radiohead	A Moon Shaped Pool	6vuykQgDLUCiZ7YggIpLM9	2016
9	September 2, 2016	Indie Rock	Angel Olsen - My Woman	Angel Olsen	My Woman	5M8xQaQZuW2LZGVXZ3mlKN	2016
8	May 6, 2016	Art Pop	ANOHNI - Hopelessness	ANOHNI	Hopelessness	3dAx4u7AJy72a6M1ms6uYF	2016
7	November 11, 2016	Hip Hop	A Tribe Called Quest - We got it from Here... Thank You 4 Your service	A Tribe Called Quest	We got it from Here... Thank You 4 Your service	3WvQpufOsPzkZvcSuynCf3	2016
6	May 13, 2016	Hip Hop	Chance The Rapper - Coloring Book	Chance The Rapper	Coloring Book	71QyofYesSsRMwFOTafnhB	2016
5	February 14, 2016	Hip Hop	Kanye West - The Life of Pablo	Kanye West	The Life of Pablo	7gsWAHLeT0w7es6FofOXk1	2016
4	January 8, 2016	Art Rock	David Bowie - Blackstar	David Bowie	Blackstar	2w1YJXWMIco6EBf0CovvVN	2016
3	April 23, 2016	R&B	Beyoncé - Lemonade	Beyoncé	Lemonade	4X6b6POxbjX9inC7TWQd54	2016
2	August 20, 2016	Alternative R&B	Frank Ocean - Blonde	Frank Ocean	Blonde	1PDX0hMmsSdq122EupvNZF	2016
1	September 30, 2016	Alternative R&B	Solange - A Seat at the Table	Solange	A Seat at the Table	3Yko2SxDk4hc6fncIBQlcM	2016
50	March 31, 2017	Deep House	Yaeji - Yaeji	Yaeji	Yaeji	0YO6XyVs6lvPeknLqOfWZY	2017
50	November 3, 2017	Electronic	Yaeji - EP2	Yaeji	EP2	1haNHfsOFIrDKDFYr0pbsy	2017
49	September 15, 2017	Hip Hop	Open Mike Eagle - Brick Body Kids Still Daydream	Open Mike Eagle	Brick Body Kids Still Daydream	1VDnqZVFSg0xVF104kaIix	2017
48	May 19, 2017	Indie Rock	(Sandy) Alex G - Rocket	(Sandy) Alex G	Rocket	5Pq92omNLyQgGGrj2u4pur	2017
47	January 27, 2017	Alternative R&B	Kehlani - SweetSexySavage	Kehlani	SweetSexySavage	4B4in9QlrlYWSHlYSRebdC	2017
46	June 23, 2017	Ambient Pop	Laurel Halo - Dust	Laurel Halo	Dust	1hLcoVrolf5uh2coXHf01M	2017
45	May 12, 2017	Indie Pop	Girlpool - Powerplant	Girlpool	Powerplant	3V3Y2GCjloFhtI16vpHl2a	2017
44	October 6, 2017	Art Pop	Kaitlyn Aurelia Smith - The Kid	Kaitlyn Aurelia Smith	The Kid	0tkPzRqTyqB8h8ZLfZ0m9k	2017
43	August 17, 2017	Hip Hop	Lil B - Black Ken	Lil B	Black Ken	60Ca2ECXMePq5zJ0fjcQK1	2017
42	February 24, 2017	Indie Rock	Vagabon - Infinite Worlds	Vagabon	Infinite Worlds	2t1IC3t3dXjK1wIlsEjCez	2017
41	September 8, 2017	Art Pop	Zola Jesus - Okovi	Zola Jesus	Okovi	3xgTnei8Ry6o0VeOYeoZg0	2017
40	January 13, 2017	Indie Pop	The xx - I See You	The xx	I See You	2PXy9USZAoTSdtrxfkPBnl	2017
39	June 16, 2017	Folk	Fleet Foxes - Crack-Up	Fleet Foxes	Crack-Up	0xtTojp4zfartyGtbFKN3v	2017
38	March 18, 2017	Hip Hop	Drake - More Life	Drake	More Life	1lXY618HWkwYKJWBRYR4MK	2017
37	January 27, 2017	Folk	Julie Byrne - Not Even Happiness	Julie Byrne	Not Even Happiness	4D0slaYPm4oiwFRlv10rJz	2017
36	February 3, 2017	Alternative R&B	Syd - Fin	Syd	Fin	59Bbr32pMTFHlUb8Nv1Kr0	2017
35	April 14, 2017	Hip Hop	Playboi Carti - Playboi Carti	Playboi Carti	Playboi Carti	4rJgzzfFHAVFhCSt2P4I3j	2017
34	September 8, 2017	Future Garage	Mount Kimbie - Love What Survives	Mount Kimbie	Love What Survives	54FblbvyHNrWeAuEJqnyit	2017
33	March 24, 2017	Tech House	Kelly Lee Owens - Kelly Lee Owens	Kelly Lee Owens	Kelly Lee Owens	3Zx14dyUjtZcEas89nZZfn	2017
32	July 21, 2017	Dream Pop	Lana Del Rey - Lust for Life	Lana Del Rey	Lust for Life	7xYiTrbTL57QO0bb4hXIKo	2017
31	September 29, 2017	Jazz	Kamasi Washington - Harmony of Difference	Kamasi Washington	Harmony of Difference	1mFuFPBz9kBDdXylMNolu7	2017
30	May 5, 2017	Dream Pop	Slowdive - Slowdive	Slowdive	Slowdive	4nSWX5A4xVomzrOEGDKLQ6	2017
29	December 25, 2016	Hip Hop	Run the Jewels - Run the Jewels 3	Run the Jewels	Run the Jewels 3	3v2GjFB9V5kHgrOCXn3sI9	2017
28	September 29, 2017	Art Pop	Ibeyi - Ash	Ibeyi	Ash	3AfBuChwSzSSufGjTAafzt	2017
27	February 24, 2017	Hip Hop	Future - HNDRXX	Future	HNDRXX	1P8NvRvykmDrKyfglMerMv	2017
26	March 10, 2017	Indie Rock	Jay Som - Everybody Works	Jay Som	Everybody Works	1ZMtgC7o6TGbzwkv5SpThU	2017
25	January 27, 2017	Post-Punk	Priests - Nothing Feels Natural	Priests	Nothing Feels Natural	4Q4PAknSA2wgEY0VPLCqAR	2017
24	February 24, 2017	Neo-Soul	Thundercat - Drunk	Thundercat	Drunk	0pP7fWQxwXJ52FsQww0YGx	2017
23	June 9, 2017	Indie Rock	Big Thief - Capacity	Big Thief	Capacity	2hOYLjoRQFXcdviMiwtgxe	2017
22	October 13, 2017	Art Pop	St. Vincent - MASSEDUCTION	St. Vincent	MASSEDUCTION	4RoOGpdrgfiIUyv0kLaC4e	2017
21	April 7, 2017	Art Pop	Arca - Arca	Arca	Arca	1MQO4j8QExVgmnplbIodEU	2017
20	November 24, 2017	Art Pop	Björk - Utopia	Björk	Utopia	037hz3oZyrgcJOheyhPMnC	2017
19	January 27, 2017	Hip Hop	Migos - Culture	Migos	Culture	2AvupjUeMnSffKEV05x222	2017
18	October 27, 2017	Singer-Songwriter	Julien Baker - Turn Out the Lights	Julien Baker	Turn Out the Lights	3uIsEwFYYV4rwRssSEJ8Lb	2017
17	November 17, 2017	Art Pop	Charlotte Gainsbourg - Rest	Charlotte Gainsbourg	Rest	4qViuTOzHQqtVppJtf96Hh	2017
16	May 5, 2017	Art Pop	Perfume Genius - No Shape	Perfume Genius	No Shape	7awgq3vvlsIeA7dZduR9x4	2017
15	February 3, 2017	Alternative R&B	Sampha - Process	Sampha	Process	2gUSWVHCOerKhJHZRwhVtN	2017
14	March 24, 2017	Singer-Songwriter	Mount Eerie - A Crow Looked at Me	Mount Eerie	A Crow Looked at Me	5p64XgvFREt1P6mC7Xl6XN	2017
13	June 30, 2017	Hip Hop	Jay-Z - 4:44	Jay-Z	4:44		2017
12	September 1, 2017	Dance Punk	LCD Soundsystem - American Dream	LCD Soundsystem	American Dream	4AF1M7bGCFL3LHCtXUUXw5	2017
11	August 25, 2017	Heartland Rock	The War on Drugs - A Deeper Understanding	The War on Drugs	A Deeper Understanding	4TkmrrpjlPoCPpGyDN3rkF	2017
10	May 19, 2017	Footwork	Jlin - Black Origami	Jlin	Black Origami	7526bnJCkFFnAMSQ9fsva9	2017
9	October 27, 2017	Electropop	Fever Ray - Plunge	Fever Ray	Plunge	3UHMhYzYnfTBEuDxb1JmxC	2017
8	July 21, 2017	Experimental Hip Hop	Tyler, the Creator - Flower Boy	Tyler, the Creator	Flower Boy	2nkto6YNI4rUYTLqEwWJ3o	2017
7	June 23, 2017	Hip Hop	Vince Staples - Big Fish Theory	Vince Staples	Big Fish Theory	5h3WJG0aZjNOrayFu3MhCS	2017
6	September 22, 2017	Art Pop	Moses Sumney - Aromanticism	Moses Sumney	Aromanticism	30WjNaR79shSTGB52IJTw0	2017
5	June 16, 2017	Art Pop	Lorde - Melodrama	Lorde	Melodrama	2B87zXm9bOWvAJdkJBTpzF	2017
4	October 6, 2017	Alternative R&B	Kelela - Take Me Apart	Kelela	Take Me Apart	6pw1XPub1bSMq03ASVqRVu	2017
3	October 13, 2017	Art Rock	King Krule - The OOZ	King Krule	The OOZ	6Ulu31dfRTpIAud08ZIhXd	2017
2	June 9, 2017	Alternative R&B	SZA - Ctrl	SZA	Ctrl	76290XdXVF9rPzGdNRWdCh	2017
1	April 14, 2017	Hip Hop	Kendrick Lamar - DAMN.	Kendrick Lamar	DAMN.	4eLPsYPBmXABThSJ821sqY	2017
50	February 23, 2018	Hip Hop	SOB X RBE - Gangin	SOB X RBE	Gangin	2PdBVnMc2vEEQU7J3CW6X9	2018.htm
49	October 26, 2018	Neo-Soul	Georgia Anne Muldrow - Overload	Georgia Anne Muldrow	Overload	0B7fXvfjRwx643vbLB8YMz	2018.htm
48	June 22, 2018	Jazz Fusion	Kamasi Washington - Heaven and Earth	Kamasi Washington	Heaven and Earth	2aBgwU4zIm1tekGzphKYp8	2018.htm
47	May 15, 2018	Ambient Techno	Skee Mask - Compro	Skee Mask	Compro	3yXIkSJWpudtgF0TZuB16U	2018.htm
46	August 24, 2018	Alternative R&B	Blood Orange - Negro Swan	Blood Orange	Negro Swan	7bvmGyFDwpHNRRRZJ0AHvn	2018.htm
45	October 5, 2018	Singer-Songwriter	Cat Power - Wanderer	Cat Power	Wanderer	28SMXZ4p2uQGJZJpFXw8em	2018.htm
44	March 2, 2018	Indie Rock	Camp Cope - How to Socialise & Make Friends	Camp Cope	How to Socialise & Make Friends	0GXUti86hj1UiPJmQrbFy6	2018.htm
43	April 20, 2018	Stoner Metal	Sleep - The Sciences	Sleep	The Sciences	790MeSzafcgXNCoY2AagnP	2018.htm
42	October 5, 2018	Indie Folk	Adrianne Lenker - abysskiss	Adrianne Lenker	abysskiss	5W6TxvIqACEfnxm0VgPhv7	2018.htm
41	October 26, 2018	R&B	Jeremih & Ty Dolla $ign - Mih-Ty	Jeremih & Ty Dolla $ign	Mih-Ty	16rRmI5wxWWO5dnRWUKCPA	2018.htm
40	May 4, 2018	Post-Punk	Iceage - Beyondless	Iceage	Beyondless	5H8wFFblf7YvGc7LbBzuR9	2018.htm
39	July 20, 2018	Neo-Soul	The Internet - Hive Mind	The Internet	Hive Mind	27ThgFMUAx3MXLQ297DzWF	2018.htm
38	April 6, 2018	Neo-Soul	Kali Uchis - Isolation	Kali Uchis	Isolation	4EPQtdq6vvwxuYeQTrwDVY	2018.htm
37	January 19, 2018	Experimental Hip Hop	JPEGMAFIA - Veteran	JPEGMAFIA	Veteran	22LKdgY3vLsAsWrOafwCM3	2018.htm
36	June 15, 2018	Trap Rap	Rico Nasty - Nasty	Rico Nasty	Nasty	4RKiTVGT9pCVRnqIkwKWo1	2018.htm
35	February 17, 2018	Deep House	A.A.L. (Against All Logic) - 2012 - 2017	A.A.L. (Against All Logic)	2012	1uzfGk9vxMXfaZ2avqwxod	2018.htm
34	October 19, 2018	Art Pop	Neneh Cherry - Broken Politics	Neneh Cherry	Broken Politics	0FVXJcJqnDaXMMUezuyszp	2018.htm
33	October 5, 2018	Trap Rap	Sheck Wes - MUDBOY	Sheck Wes	MUDBOY	15Id9Jrqab8IwHFirdrrLp	2018.htm
32	June 29, 2018	Art Pop	Let's Eat Grandma - I'm All Ears	Let's Eat Grandma	I'm All Ears	5Bnhkya5cGltQFTrnC0grx	2018.htm
31	May 11, 2018	Psychedelic Pop	Arctic Monkeys - Tranquility Base Hotel & Casino	Arctic Monkeys	Tranquility Base Hotel & Casino	1jeMiSeSnNS0Oys375qegp	2018.htm
30	September 21, 2018	Synthpop	Christine and the Queens - Chris	Christine and the Queens	Chris	08LcAgUEeFV4tM3WPPpbYh	2018.htm
29	October 26, 2018	Indie Folk	boygenius - boygenius EP	boygenius	boygenius EP	5BRORKnC2HD5xhgUyR31SH	2018.htm
28	July 13, 2018	Blackgaze	Deafheaven - Ordinary Corrupt Human Love	Deafheaven	Ordinary Corrupt Human Love	2iA7rzpQsOfAPkfH4Ekp7f	2018.htm
27	March 2, 2018	Indie Pop	Soccer Mommy - Clean	Soccer Mommy	Clean	36NLDBi2kX7XRHnyLzLOS8	2018.htm
26	November 2, 2018	Hip Hop	Vince Staples - FM!	Vince Staples	FM!	1HB4naIXCKcUtvBK4Gmcke	2018.htm
25	May 11, 2018	Trap Rap	Playboi Carti - Die Lit	Playboi Carti	Die Lit	7dAm8ShwJLFm9SaJ6Yc58O	2018.htm
24	October 26, 2018	Progressive Pop	Julia Holter - Aviary	Julia Holter	Aviary	6icpwcJQWK4nq9Xilk4yRu	2018.htm
23	August 3, 2018	Trap Rap	Travis Scott - ASTROWORLD	Travis Scott	ASTROWORLD	41GuZcammIkupMPKH2OJ6I	2018.htm
22	February 16, 2018	Neo-Psychedelia	U.S. Girls - In a Poem Unlimited	U.S. Girls	In a Poem Unlimited	5mcuyVRQmrRlfFqDDfJI1q	2018.htm
21	November 30, 2018	Art Pop	The 1975 - A Brief Inquiry Into Online Relationships	The 1975	A Brief Inquiry Into Online Relationships	6PWXKiakqhI17mTYM4y6oY	2018.htm
20	May 11, 2018	Dream Pop	Beach House - 7	Beach House	7	4qftBBO7pnYlek3mRENIvM	2018.htm
19	April 6, 2018	Trap Rap	Cardi B - Invasion of Privacy	Cardi B	Invasion of Privacy	4KdtEKjY3Gi0mKiSdy96ML	2018.htm
18	June 15, 2018	Post-Industrial	SOPHIE - OIL OF EVERY PEARL'S UN-INSIDES	SOPHIE	OIL OF EVERY PEARL'S UN-INSIDES	0CKiI5WdJ5rzUIK8hyD3SY	2018.htm
17	May 25, 2018	Hip Hop	Pusha T - Daytona	Pusha T	Daytona	07bIdDDe3I3hhWpxU6tuBp	2018.htm
16	May 4, 2018	Microhouse	Jon Hopkins - Singularity	Jon Hopkins	Singularity	1nvzBC1M3dlCMIxfUCBhlO	2018.htm
15	September 14, 2018	Hip Hop	Noname - Room 25	Noname	Room 25	7oHM3Sj0l2nXAzGAxW0KOt	2018.htm
14	March 30, 2018	Neo-Psychedelia	Amen Dunes - Freedom	Amen Dunes	Freedom	2H4G8AGta9p8yjgjVI9nZd	2018.htm
13	August 10, 2018	Art Pop	Tirzah - Devotion	Tirzah	Devotion	15GocbF7ybkkPP03YXtLqv	2018.htm
12	January 5, 2018	Trap Rap	cupcakKe - Ephorize	cupcakKe	Ephorize	5vnAsJiYwz1Cb3lydVGN9W	2018.htm
11	August 17, 2018	R&B	Ariana Grande - Sweetener	Ariana Grande	Sweetener	3tx8gQqWbGwqIGZHqDNrGe	2018.htm
10	September 5, 2018	Post-Industrial	Yves Tumor - Safe in the Hands of Love	Yves Tumor	Safe in the Hands of Love	1IpYZkYoYCjXTYMDEW8Ksk	2018.htm
9	May 30, 2018	Pop Rap	Tierra Whack - Whack World	Tierra Whack	Whack World	3ogNAkUhvQy0cFOfLoR6Y8	2018.htm
8	September 14, 2018	Ambient Pop	Low - Double Negative	Low	Double Negative	1zTkgOHx3mjrUvrhxq4osf	2018.htm
7	November 30, 2018	Experimental Hip Hop	Earl Sweatshirt - Some Rap Songs	Earl Sweatshirt	Some Rap Songs	66at85wgO2pu5CccvqUF6i	2018.htm
6	November 2, 2018	Art Pop	Rosalía - El Mal Querer	Rosalía	El Mal Querer	355bjCHzRJztCzaG5Za4gq	2018.htm
5	June 8, 2018	Indie Rock	Snail Mail - Lush	Snail Mail	Lush	2e48GqjEwCi87gQJanb1bf	2018.htm
4	October 26, 2018	Electropop	Robyn - Honey	Robyn	Honey	6WZjFvrzwq8SOGe0r8R3qk	2018.htm
3	May 4, 2018	Deep House	DJ Koze - Knock Knock	DJ Koze	Knock Knock	0sT4nyNxsvGNQr1O8OR83O	2018.htm
2	March 30, 2018	Country Pop	Kacey Musgraves - Golden Hour	Kacey Musgraves	Golden Hour	7f6xPqyaolTiziKf5R5Z0c	2018.htm
1	August 17, 2018	Indie Rock	Mitski - Be the Cowboy	Mitski	Be the Cowboy	653wRjqO0GOZPQPcXpeAXD	2018.htm
50	October 18, 2019	IDM	Floating Points - Crush	Floating Points	Crush	1WwZwdTICfaZI51BIIEN9z	2019
49	May 24, 2019	Alt-Country	Faye Webster - Atlanta Millionaires Club	Faye Webster	Atlanta Millionaires Club	4vt0V1SmkaK1Y440P5Nsb4	2019
48	October 4, 2019	Abstract Hip Hop	Danny Brown - uknowhatimsayin¿	Danny Brown	uknowhatimsayin¿	4G3BRVsGEpWzUdplFJ1VBl	2019
47	September 6, 2019	Minimal Techno	Barker - Utility	Barker	Utility	5F3YJdIjGHhnUVuD96G1mz	2019
46	February 13, 2019	Dance Punk	CHAI - PUNK	CHAI	PUNK	7tcbI0Qp64LaGwHYgwkbBO	2019
45	March 1, 2019	Trap Rap	DaBaby - Baby On Baby	DaBaby	Baby On Baby	0O1PJ0t69iTO5yWrIeIga0	2019
44	May 10, 2019	Glitch Pop	Holly Herndon - PROTO	Holly Herndon	PROTO	3PkYFFSJTPxOhnSYBtyZsk	2019
43	April 25, 2019	Trap Rap	Rico Nasty & Kenny Beats - Anger Management	Rico Nasty & Kenny Beats	Anger Management	5JbeU5WL1WAGxy1u5fsOmf	2019
42	May 31, 2019	Bubblegum Bass	100 gecs - 1000 gecs	100 gecs	1000 gecs	4CGanXs6KlVuXXdNrf82qE	2019
41	November 22, 2019	Death Metal	Blood Incantation - Hidden History of the Human Race	Blood Incantation	Hidden History of the Human Race	34U0n1oAE5mwgdaIBrcIck	2019
40	June 27, 2019	Glitch Pop	Thom Yorke - ANIMA	Thom Yorke	ANIMA	1g4vEVvVVFvFju0gS0DMbh	2019
39	April 26, 2019	Singer-Songwriter	Aldous Harding - Designer	Aldous Harding	Designer	0QNJa03XQeMOuQhi9izThh	2019
38	February 28, 2019	Ambient Techno	RAP - Export	RAP	Export		2019
37	March 22, 2019	Indie Pop	Nilüfer Yanya - Miss Universe	Nilüfer Yanya	Miss Universe	4ghm3TST2NwYOIAd5QHjbU	2019
36	May 31, 2019	Trap Rap	Denzel Curry - ZUU	Denzel Curry	ZUU	6PkSBdx19zarn4ae1D08gA	2019
35	June 21, 2019	Punk Rock	Mannequin Pussy - Patience	Mannequin Pussy	Patience	1X0Na8DRV5U6G9grTPDWKF	2019
34	May 17, 2019	Hip Hop	slowthai - Nothing Great About Britain	slowthai	Nothing Great About Britain	2wl8jFb7m1paRmxIbwtHru	2019
33	June 7, 2019	Trap Rap	Polo G - Die a Legend	Polo G	Die a Legend	26ztFK3E69j5THJQdyxC5w	2019
32	January 18, 2019	Indie Pop	Sharon Van Etten - Remind Me Tomorrow	Sharon Van Etten	Remind Me Tomorrow	2dvXk4nacVRmDSnbKniwrS	2019
31	June 21, 2019	Abstract Hip Hop	MIKE - tears of joy	MIKE	tears of joy	0LTQhn97NYWef8DeDAsknh	2019
30	August 16, 2019	Emo	Oso Oso - Basking in the Glow	Oso Oso	Basking in the Glow	0W3zHdIMXAfAAueEWaagRH	2019
29	February 8, 2019	R&B	Ariana Grande - thank u, next	Ariana Grande	thank u, next	2fYhqwDWXjbpjaIJPEfKFw	2019
28	October 4, 2019	Singer-Songwriter	Nick Cave & The Bad Seeds - Ghosteen	Nick Cave & The Bad Seeds	Ghosteen	6UOvMBrdfOWGqSvtQohiso	2019
27	July 26, 2019	Indie Folk	Florist - Emily Alone	Florist	Emily Alone	2Lgoj4yzpi5YchgiVuZTcH	2019
26	July 25, 2019	Afrobeats	Burna Boy - African Giant	Burna Boy	African Giant	34vlTd4355ddD4q9pPsoqF	2019
25	May 3, 2019	Indie Pop	Vampire Weekend - Father of the Bride	Vampire Weekend	Father of the Bride	1A3nVEWRJ8yvlPzawHI1pQ	2019
24	October 11, 2019	Noise Rock	Kim Gordon - No Home Record	Kim Gordon	No Home Record	4WgO7FEa9fzcyOIabUIbQR	2019
23	May 17, 2019	Neo-Soul	Tyler, the Creator - IGOR	Tyler, the Creator	IGOR	5zi7WsKlIiUXv09tbGLKsE	2019
22	May 24, 2019	Art Pop	Cate Le Bon - Reward	Cate Le Bon	Reward	1et95HstXof7uDcKgCkwXw	2019
21	March 29, 2019	Electropop	Billie Eilish - WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	Billie Eilish	WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?	0S0KGZnfBGSIssfF54WSJh	2019
20	September 13, 2019	Art Pop	Jenny Hval - The Practice of Love	Jenny Hval	The Practice of Love	6Ia2sw3y79k40GHeNjCfLh	2019
19	February 8, 2019	Folk	Jessica Pratt - Quiet Signs	Jessica Pratt	Quiet Signs	00oz3t7cI3WfwS2oEIZD6x	2019
18	August 2, 2019	Indie Pop	Clairo - Immunity	Clairo	Immunity	4kkVGtCqE2NiAKosri9Rnd	2019
17	September 13, 2019	Indie Folk	(Sandy) Alex G - House of Sugar	(Sandy) Alex G	House of Sugar	2kCDZ3gCr5hXFgbFsPMcxP	2019
16	August 9, 2019	Art Pop	Bon Iver - i,i	Bon Iver	i,i	54DU59anGQsdrFP7utpshG	2019
15	June 14, 2019	Singer-Songwriter	Bill Callahan - Shepherd in a Sheepskin Vest	Bill Callahan	Shepherd in a Sheepskin Vest	7sfkWJ14gZywjyv3wtQ5WC	2019
14	April 17, 2019	R&B	Beyoncé - HOMECOMING: THE LIVE ALBUM	Beyoncé	HOMECOMING: THE LIVE ALBUM	35S1JCj5paIfElT2GODl6x	2019
13	October 11, 2019	Indie Folk	Big Thief - Two Hands	Big Thief	Two Hands	7pg8T6pajjHVZbiyB8bGxo	2019
12	September 20, 2019	Psychedelic Soul	Brittany Howard - Jaime	Brittany Howard	Jaime	6fbphjr9j57oxMB2bnhzUf	2019
11	May 10, 2019	Alternative R&B	Jamila Woods - LEGACY! LEGACY!	Jamila Woods	LEGACY! LEGACY!	5NzK7S7oQQnO8eLRf7kDJx	2019
10	July 12, 2019	Indie Rock	Purple Mountains - Purple Mountains	Purple Mountains	Purple Mountains	5NCdiiTgky5PbjmCtcgwtn	2019
9	April 5, 2019	Art Pop	Weyes Blood - Titanic Rising	Weyes Blood	Titanic Rising	53VKICyqCf91sVkTdFrzKX	2019
8	March 29, 2019	Ambient	Fennesz - Agora	Fennesz	Agora	7JpOsq1F2A9aPr2fdacsOk	2019
7	March 8, 2019	Art Pop	Helado Negro - This Is How You Smile	Helado Negro	This Is How You Smile	17LsQV3q3cgTBrat3D5JSv	2019
6	December 24, 2018	Trap Rap	Bad Bunny - X 100PRE	Bad Bunny	X 100PRE	7CjJb2mikwAWA1V6kewFBF	2019
5	March 1, 2019	Neo-Soul	Solange - When I Get Home	Solange	When I Get Home	4WF4HvVT7VjGnVjxjoCR6w	2019
4	October 4, 2019	Art Pop	Angel Olsen - All Mirrors	Angel Olsen	All Mirrors	0RedX0LZkGUFoRwFntAaI0	2019
3	May 3, 2019	Indie Folk	Big Thief - U.F.O.F.	Big Thief	U.F.O.F.	13arYJWgDb5xGDHU49Nlj9	2019
2	November 8, 2019	Art Pop	FKA twigs - MAGDALENE	FKA twigs	MAGDALENE	2w8Wshbp9RCPJdPU1iOpaY	2019
1	August 30, 2019	Art Pop	Lana Del Rey - Norman Fucking Rockwell!	Lana Del Rey	Norman Fucking Rockwell!	5XpEKORZ4y6OrCZSKsi46A	2019
